Risk ID,Risk Title,Risk Description,Risk Category,Threat Scenario,Affected Asset,Inherent Likelihood,Inherent Impact,Inherent Score,Inherent Rating,Mapped Control,Control Status,Residual Likelihood,Residual Impact,Residual Score,Residual Rating,Risk Treatment,Risk Owner,Review Frequency,Status
AI-RISK-001,Sensitive Data Disclosure Through LLM,"Sensitive authentication or payment information may be exposed, transformed, reconstructed, or disclosed through the AI system.",Data Protection / AI Security,"A user attempts to obtain restricted PIN or payment data through direct requests, prompt injection, or transformation.",Customer data / AI application,4,5,20,Critical,AI-DATA-001,Implemented and Tested,2,5,10,High,Mitigate,AI Application / Security Team,Quarterly and after material changes,Open - Controlled
AI-RISK-002,Unauthorized Cross-Customer Data Access,An authenticated user may attempt to access another customer's information through the AI interface.,Authorization / AI Security,A user requests another customer's data directly or uses role manipulation or prompt injection to bypass restrictions.,Customer account information,4,5,20,Critical,AI-ACCESS-001,Implemented and Tested,2,5,10,High,Mitigate,AI Application / IAM / Security Team,Quarterly and after authorization changes,Open - Controlled
AI-RISK-003,Insufficient AI Security Logging and Monitoring,"Security-relevant AI activity may not be detected, investigated, reconstructed, or escalated because of insufficient logging and monitoring.",Monitoring / AI Security,"Unauthorized access attempts, prompt injection, role manipulation, or other malicious AI activity occurs but is not adequately logged, detected, or investigated.",AI application / security audit trail,4,4,16,High,AI-LOG-001,Implemented and Tested,2,4,8,Medium,Mitigate,Security Operations / AI Governance Team,Quarterly and after material logging or monitoring changes,Open - Controlled
AI-RISK-004,Unsafe or Sensitive AI Output Delivery,"AI-generated responses may contain restricted, sensitive, credential-like, malformed, or otherwise unsafe content that could be delivered directly to an end user.",Output Security / AI Safety,The model generates sensitive or unsafe content and the application delivers the response without adequate output validation or blocking.,Customer data / user-facing AI response,4,5,20,Critical,AI-OUTPUT-001,Implemented and Tested,2,5,10,High,Mitigate,AI Application / Security Team,"Quarterly and after material model, prompt, or output-policy changes",Open - Controlled
AI-RISK-005,Authentication or Session Compromise Leading to Unauthorized AI Access,Weak authentication or session handling may allow an attacker or unauthorized user to obtain AI access under another user's identity or through a forged or improperly validated session.,Identity and Access / AI Security,"An attacker forges, alters, reuses, or misrepresents session information and the AI application accepts the session without adequate server-side validation and identity binding.",User identity / AI application / customer data,4,5,20,Critical,AI-AUTH-001,Implemented and Tested,2,5,10,High,Mitigate,IAM / AI Application / Security Team,Quarterly and after material authentication or session changes,Open - Controlled
AI-RISK-006,Uncontrolled AI Model or Configuration Change,"Unauthorized, unapproved, or poorly controlled changes to the AI model, system prompt, configuration, validation logic, or related security settings may weaken previously tested controls or alter system behavior.",Change Management / AI Governance,"A model, prompt, configuration, or security-related setting is changed without adequate approval, validation, version control, testing, or rollback capability.",AI model / configuration / security controls,4,5,20,Critical,AI-CHANGE-001,Implemented and Tested,2,5,10,High,Mitigate,AI Application / AI Governance / Security Team,"Quarterly and after material model, prompt, configuration, or deployment changes",Open - Controlled
AI-RISK-007,Insufficient Human Oversight of Material AI Decisions,"Material AI-driven actions may proceed without appropriate human review, approval, escalation, or accountability, increasing the risk of unauthorized or harmful outcomes.",Human Oversight / AI Governance,"The AI application initiates or executes a material action such as an account closure, large transfer, or credential reset without required human review or approval.",Customer accounts / financial actions / user credentials,4,5,20,Critical,AI-HUMAN-001,Implemented and Tested,2,5,10,High,Mitigate,AI Governance / Business Operations / Security Team,Quarterly and after material changes to AI decision authority or human-approval workflows,Open - Controlled
AI-RISK-008,Inadequate Response to AI Security Incidents,"High-risk AI security events may not be contained, escalated, investigated, or supported by preserved evidence, increasing the impact and duration of security incidents.",Incident Response / AI Security,"A high-risk AI security event such as prompt injection or cross-customer access occurs, but the organization fails to create an incident, contain the activity, escalate the event, or preserve evidence for investigation.",AI application / customer data / security evidence / operations,4,5,20,Critical,AI-IR-001,Implemented and Tested,2,5,10,High,Mitigate,Security Operations / Incident Response / AI Governance Team,Quarterly and after material incident-response process changes or significant AI security incidents,Open - Controlled
AI-RISK-009,Cross-User Session or Context Leakage,"Session or conversational context may cross user boundaries, allowing one authenticated user to receive another user's context or reuse a session that is bound to a different identity.",Session Security / AI Security,"A user reuses another user's session identifier, requests another user's context, or receives context left in shared application state because session and identity boundaries are not adequately isolated.",User session / conversational context / customer information,4,5,20,Critical,AI-SESSION-001,Implemented and Tested,2,5,10,High,Mitigate,AI Application / IAM / Security Team,"Quarterly and after material session-management, IAM, or conversational-context changes",Open - Controlled
AI-RISK-010,Unmanaged AI Model Limitations and Behavioral Risk,"AI model limitations such as hallucination, unsupported factual claims, behavioral instability, or model drift may cause users to receive inaccurate or misleading information.",Model Risk / AI Reliability,"The AI model generates a factual statement that is not supported by available authoritative context, and the application presents that statement to the user as if it were reliable.",User decisions / customer information / AI application reliability,4,5,20,Critical,AI-MODEL-001,Implemented and Tested,2,5,10,High,Mitigate,AI Application / AI Governance / Model Risk Team,"Quarterly and after material model, retrieval, prompt, or grounding-control changes",Open - Controlled
